year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-05-05T23:10:00Z,381015,P,2,0.0,0.0,0.0
2014,2014-05-06T00:05:00Z,381009,P,3,0.333,0.667,1.0
2014,2014-05-06T00:10:00Z,381008,P,2,0.0,0.0,0.0
2014,2014-05-06T00:40:00Z,381019,P,4,0.25,0.25,0.5
2014,2014-05-06T23:05:00Z,381032,P,2,0.0,0.0,0.0
2014,2014-05-06T02:10:00Z,381011,P,1,0.0,0.0,0.0
2014,2014-05-06T23:05:00Z,381027,P,2,0.5,0.5,1.0
2014,2014-05-06T23:10:00Z,381030,P,2,0.0,0.0,0.0
2014,2014-05-06T23:05:00Z,381035,P,2,0.0,0.0,0.0
2014,2014-05-06T23:10:00Z,381033,P,2,0.5,0.5,1.0
2014,2014-05-07T00:05:00Z,381023,P,2,0.0,0.0,0.0
2014,2014-05-07T00:10:00Z,381021,P,2,0.0,0.0,0.0
2014,2014-05-07T00:40:00Z,381034,P,2,0.0,0.0,0.0
2014,2014-05-07T16:35:00Z,381049,P,3,0.333,0.333,0.667
2014,2014-05-07T16:40:00Z,381046,P,2,0.0,0.0,0.0
2014,2014-05-07T17:05:00Z,381043,P,3,0.0,0.0,0.0
2014,2014-05-07T02:10:00Z,381026,P,2,0.0,0.0,0.0
2014,2014-05-07T17:10:00Z,381036,P,1,0.0,0.0,0.0
2014,2014-05-07T23:10:00Z,381050,P,2,0.0,0.0,0.0
2014,2014-05-07T19:40:00Z,381042,P,1,0.0,0.0,0.0
2014,2014-05-09T02:10:00Z,381056,P,2,0.5,2.0,2.5
2014,2014-05-09T23:05:00Z,381073,P,1,0.0,0.0,0.0
2014,2014-05-09T23:10:00Z,381065,P,2,0.0,0.0,0.0
2014,2014-05-09T02:10:00Z,381059,P,2,0.0,0.0,0.0
2014,2014-05-09T23:10:00Z,381071,P,1,0.0,0.0,0.0
2014,2014-05-09T23:35:00Z,381063,P,3,0.0,0.0,0.0
2014,2014-05-10T00:10:00Z,381070,P,2,0.0,0.0,0.0
2014,2014-05-10T02:10:00Z,381072,P,1,0.0,0.0,0.0
2014,2014-05-10T02:10:00Z,381068,P,2,0.0,0.0,0.0
2014,2014-05-10T20:10:00Z,381087,P,1,0.5,0.0,0.5
2014,2014-05-10T23:05:00Z,381088,P,3,0.0,0.0,0.0
2014,2014-05-10T23:10:00Z,381086,P,2,0.0,0.0,0.0
2014,2014-05-10T23:10:00Z,381080,P,0,,,
2014,2014-05-10T23:10:00Z,381078,P,2,0.0,0.0,0.0
2014,2014-05-10T23:10:00Z,381085,P,2,0.0,0.0,0.0
2014,2014-05-11T17:10:00Z,381095,P,1,0.0,0.0,0.0
2014,2014-05-11T00:40:00Z,381083,P,1,0.0,0.0,0.0
2014,2014-05-11T17:35:00Z,381093,P,2,0.0,0.0,0.0
2014,2014-05-11T18:10:00Z,381100,P,2,0.5,1.0,1.5
2014,2014-05-11T17:10:00Z,381101,P,2,0.0,0.0,0.0
2014,2014-05-11T20:10:00Z,381102,P,1,1.0,1.0,2.0
2014,2014-05-11T20:10:00Z,381098,P,3,0.0,0.0,0.0
2014,2014-05-12T00:05:00Z,381103,P,2,0.0,0.0,0.0
2014,2014-05-13T01:40:00Z,381114,P,2,0.5,1.0,1.5
2014,2014-05-13T00:10:00Z,381108,P,1,0.0,0.0,0.0
2014,2014-05-13T02:15:00Z,381106,P,3,0.0,0.0,0.0
2014,2014-05-13T02:10:00Z,381110,P,2,0.667,0.5,1.167
2014,2014-05-13T23:05:00Z,381115,P,2,0.0,0.0,0.0
2014,2014-05-13T23:10:00Z,381126,P,3,0.0,0.0,0.0
2014,2014-05-14T00:10:00Z,381125,P,1,0.0,0.0,0.0
2014,2014-05-14T00:15:00Z,381119,P,1,0.5,0.0,0.5
2014,2014-05-14T01:40:00Z,381129,P,3,0.667,0.667,1.333
2014,2014-05-14T02:15:00Z,381116,P,1,0.0,0.0,0.0
2014,2014-05-14T17:05:00Z,381130,P,1,0.0,0.0,0.0
2014,2014-05-14T19:40:00Z,381144,P,2,0.5,0.5,1.0
2014,2014-05-14T02:10:00Z,381123,P,2,0.5,0.5,1.0
2014,2014-05-14T19:45:00Z,381131,P,3,0.0,0.0,0.0
2014,2014-05-14T23:10:00Z,381139,P,1,0.0,0.0,0.0
2014,2014-05-15T00:10:00Z,381140,P,2,0.0,0.0,0.0
2014,2014-08-30T18:15:00Z,381134,P,2,0.0,0.0,0.0
2014,2014-05-15T16:35:00Z,381152,P,3,0.0,0.0,0.0
2014,2014-05-15T02:10:00Z,381138,P,2,0.0,0.0,0.0
2014,2014-05-15T22:10:00Z,381141,P,1,0.0,0.0,0.0
2014,2014-05-15T22:10:00Z,381141,P,1,0.0,0.0,0.0
2014,2014-05-15T17:10:00Z,381151,P,2,0.0,0.0,0.0
2014,2014-05-15T17:45:00Z,381147,P,2,0.5,0.5,1.0
2014,2014-05-15T23:10:00Z,381150,P,1,1.0,1.0,2.0
2014,2014-05-16T02:15:00Z,381149,P,2,0.333,0.0,0.333
2014,2014-05-16T18:20:00Z,381161,P,2,0.5,0.5,1.0
2014,2014-05-16T23:05:00Z,381162,P,2,0.5,0.5,1.0
2014,2014-05-16T23:05:00Z,381157,P,2,0.0,0.0,0.0
2014,2014-05-17T00:40:00Z,381165,P,2,0.0,0.0,0.0
2014,2014-05-17T02:15:00Z,381160,P,2,0.0,0.0,0.0
